Participant,Menu Type,Menu Depth,Pointing Device,Target Item,,,,,
1,Marking,1,Trackpad,Clothing,1,Clothing,1,1,Clothing
1,Marking,1,Trackpad,Food,2,Food,1,2,Food
1,Marking,1,Trackpad,Animals,3,Animals,1,3,Animals
1,Marking,2,Trackpad,Meat,2,Meat,2,1,Hats
1,Marking,2,Trackpad,Hats,1,Hats,2,2,Meat
1,Marking,2,Trackpad,Fish,3,Fish,2,3,Fish
1,Marking,3,Trackpad,Cap,1,Cap,3,1,Cap
1,Marking,3,Trackpad,Shark,3,Shark,3,2,Bacon
1,Marking,3,Trackpad,Bacon,2,Bacon,3,3,Shark
1,Marking,1,Mouse,Animals,3,Animals,,,
1,Marking,1,Mouse,Food,2,Food,,,
1,Marking,1,Mouse,Clothing,1,Clothing,,,
1,Marking,2,Mouse,Fish,3,Fish,,,
1,Marking,2,Mouse,Hats,1,Hats,,,
1,Marking,2,Mouse,Meat,2,Meat,,,
1,Marking,3,Mouse,Bacon,2,Bacon,,,
1,Marking,3,Mouse,Cap,1,Cap,,,
1,Marking,3,Mouse,Shark,3,Shark,,,
1,Radial,1,Trackpad,Animals,3,Animals,,,
1,Radial,1,Trackpad,Food,2,Food,,,
1,Radial,1,Trackpad,Clothing,1,Clothing,,,
1,Radial,2,Trackpad,Hats,1,Hats,,,
1,Radial,2,Trackpad,Meat,2,Meat,,,
1,Radial,2,Trackpad,Fish,3,Fish,,,
1,Radial,3,Trackpad,Cap,1,Cap,,,
1,Radial,3,Trackpad,Shark,3,Shark,,,
1,Radial,3,Trackpad,Bacon,2,Bacon,,,
1,Radial,1,Mouse,Animals,3,Animals,,,
1,Radial,1,Mouse,Food,2,Food,,,
1,Radial,1,Mouse,Clothing,1,Clothing,,,
1,Radial,2,Mouse,Meat,2,Meat,,,
1,Radial,2,Mouse,Fish,3,Fish,,,
1,Radial,2,Mouse,Hats,1,Hats,,,
1,Radial,3,Mouse,Shark,3,Shark,,,
1,Radial,3,Mouse,Bacon,2,Bacon,,,
1,Radial,3,Mouse,Cap,1,Cap,,,
2,Radial,1,Trackpad,Clothing,,,,,
2,Radial,1,Trackpad,Food,,,,,
2,Radial,1,Trackpad,Animals,,,,,
2,Radial,2,Trackpad,Meat,,,,,
2,Radial,2,Trackpad,Hats,,,,,
2,Radial,2,Trackpad,Fish,,,,,
2,Radial,3,Trackpad,Cap,,,,,
2,Radial,3,Trackpad,Shark,,,,,
2,Radial,3,Trackpad,Bacon,,,,,
2,Radial,1,Mouse,Animals,,,,,
2,Radial,1,Mouse,Food,,,,,
2,Radial,1,Mouse,Clothing,,,,,
2,Radial,2,Mouse,Fish,,,,,
2,Radial,2,Mouse,Hats,,,,,
2,Radial,2,Mouse,Meat,,,,,
2,Radial,3,Mouse,Bacon,,,,,
2,Radial,3,Mouse,Cap,,,,,
2,Radial,3,Mouse,Shark,,,,,
2,Marking,1,Trackpad,Animals,,,,,
2,Marking,1,Trackpad,Food,,,,,
2,Marking,1,Trackpad,Clothing,,,,,
2,Marking,2,Trackpad,Hats,,,,,
2,Marking,2,Trackpad,Meat,,,,,
2,Marking,2,Trackpad,Fish,,,,,
2,Marking,3,Trackpad,Cap,,,,,
2,Marking,3,Trackpad,Shark,,,,,
2,Marking,3,Trackpad,Bacon,,,,,
2,Marking,1,Mouse,Animals,,,,,
2,Marking,1,Mouse,Food,,,,,
2,Marking,1,Mouse,Clothing,,,,,
2,Marking,2,Mouse,Meat,,,,,
2,Marking,2,Mouse,Fish,,,,,
2,Marking,2,Mouse,Hats,,,,,
2,Marking,3,Mouse,Shark,,,,,
2,Marking,3,Mouse,Bacon,,,,,
2,Marking,3,Mouse,Cap,,,,,
3,Marking,1,Mouse,Clothing,,,,,
3,Marking,1,Mouse,Food,,,,,
3,Marking,1,Mouse,Animals,,,,,
3,Marking,2,Mouse,Meat,,,,,
3,Marking,2,Mouse,Hats,,,,,
3,Marking,2,Mouse,Fish,,,,,
3,Marking,3,Mouse,Cap,,,,,
3,Marking,3,Mouse,Shark,,,,,
3,Marking,3,Mouse,Bacon,,,,,
3,Marking,1,Trackpad,Animals,,,,,
3,Marking,1,Trackpad,Food,,,,,
3,Marking,1,Trackpad,Clothing,,,,,
3,Marking,2,Trackpad,Fish,,,,,
3,Marking,2,Trackpad,Hats,,,,,
3,Marking,2,Trackpad,Meat,,,,,
3,Marking,3,Trackpad,Bacon,,,,,
3,Marking,3,Trackpad,Cap,,,,,
3,Marking,3,Trackpad,Shark,,,,,
3,Radial,1,Mouse,Animals,,,,,
3,Radial,1,Mouse,Food,,,,,
3,Radial,1,Mouse,Clothing,,,,,
3,Radial,2,Mouse,Hats,,,,,
3,Radial,2,Mouse,Meat,,,,,
3,Radial,2,Mouse,Fish,,,,,
3,Radial,3,Mouse,Cap,,,,,
3,Radial,3,Mouse,Shark,,,,,
3,Radial,3,Mouse,Bacon,,,,,
3,Radial,1,Trackpad,Animals,,,,,
3,Radial,1,Trackpad,Food,,,,,
3,Radial,1,Trackpad,Clothing,,,,,
3,Radial,2,Trackpad,Meat,,,,,
3,Radial,2,Trackpad,Fish,,,,,
3,Radial,2,Trackpad,Hats,,,,,
3,Radial,3,Trackpad,Shark,,,,,
3,Radial,3,Trackpad,Bacon,,,,,
3,Radial,3,Trackpad,Cap,,,,,
4,Radial,1,Mouse,Clothing,,,,,
4,Radial,1,Mouse,Food,,,,,
4,Radial,1,Mouse,Animals,,,,,
4,Radial,2,Mouse,Meat,,,,,
4,Radial,2,Mouse,Hats,,,,,
4,Radial,2,Mouse,Fish,,,,,
4,Radial,3,Mouse,Cap,,,,,
4,Radial,3,Mouse,Shark,,,,,
4,Radial,3,Mouse,Bacon,,,,,
4,Radial,1,Trackpad,Animals,,,,,
4,Radial,1,Trackpad,Food,,,,,
4,Radial,1,Trackpad,Clothing,,,,,
4,Radial,2,Trackpad,Fish,,,,,
4,Radial,2,Trackpad,Hats,,,,,
4,Radial,2,Trackpad,Meat,,,,,
4,Radial,3,Trackpad,Bacon,,,,,
4,Radial,3,Trackpad,Cap,,,,,
4,Radial,3,Trackpad,Shark,,,,,
4,Marking,1,Mouse,Animals,,,,,
4,Marking,1,Mouse,Food,,,,,
4,Marking,1,Mouse,Clothing,,,,,
4,Marking,2,Mouse,Hats,,,,,
4,Marking,2,Mouse,Meat,,,,,
4,Marking,2,Mouse,Fish,,,,,
4,Marking,3,Mouse,Cap,,,,,
4,Marking,3,Mouse,Shark,,,,,
4,Marking,3,Mouse,Bacon,,,,,
4,Marking,1,Trackpad,Animals,,,,,
4,Marking,1,Trackpad,Food,,,,,
4,Marking,1,Trackpad,Clothing,,,,,
4,Marking,2,Trackpad,Meat,,,,,
4,Marking,2,Trackpad,Fish,,,,,
4,Marking,2,Trackpad,Hats,,,,,
4,Marking,3,Trackpad,Shark,,,,,
4,Marking,3,Trackpad,Bacon,,,,,
4,Marking,3,Trackpad,Cap,,,,,
5,Marking,1,Trackpad,Clothing,,,,,
5,Marking,1,Trackpad,Food,,,,,
5,Marking,1,Trackpad,Animals,,,,,
5,Marking,2,Trackpad,Meat,,,,,
5,Marking,2,Trackpad,Hats,,,,,
5,Marking,2,Trackpad,Fish,,,,,
5,Marking,3,Trackpad,Cap,,,,,
5,Marking,3,Trackpad,Shark,,,,,
5,Marking,3,Trackpad,Bacon,,,,,
5,Marking,1,Mouse,Animals,,,,,
5,Marking,1,Mouse,Food,,,,,
5,Marking,1,Mouse,Clothing,,,,,
5,Marking,2,Mouse,Fish,,,,,
5,Marking,2,Mouse,Hats,,,,,
5,Marking,2,Mouse,Meat,,,,,
5,Marking,3,Mouse,Bacon,,,,,
5,Marking,3,Mouse,Cap,,,,,
5,Marking,3,Mouse,Shark,,,,,
5,Radial,1,Trackpad,Animals,,,,,
5,Radial,1,Trackpad,Food,,,,,
5,Radial,1,Trackpad,Clothing,,,,,
5,Radial,2,Trackpad,Hats,,,,,
5,Radial,2,Trackpad,Meat,,,,,
5,Radial,2,Trackpad,Fish,,,,,
5,Radial,3,Trackpad,Cap,,,,,
5,Radial,3,Trackpad,Shark,,,,,
5,Radial,3,Trackpad,Bacon,,,,,
5,Radial,1,Mouse,Animals,,,,,
5,Radial,1,Mouse,Food,,,,,
5,Radial,1,Mouse,Clothing,,,,,
5,Radial,2,Mouse,Meat,,,,,
5,Radial,2,Mouse,Fish,,,,,
5,Radial,2,Mouse,Hats,,,,,
5,Radial,3,Mouse,Shark,,,,,
5,Radial,3,Mouse,Bacon,,,,,
5,Radial,3,Mouse,Cap,,,,,
6,Radial,1,Trackpad,Clothing,,,,,
6,Radial,1,Trackpad,Food,,,,,
6,Radial,1,Trackpad,Animals,,,,,
6,Radial,2,Trackpad,Meat,,,,,
6,Radial,2,Trackpad,Hats,,,,,
6,Radial,2,Trackpad,Fish,,,,,
6,Radial,3,Trackpad,Cap,,,,,
6,Radial,3,Trackpad,Shark,,,,,
6,Radial,3,Trackpad,Bacon,,,,,
6,Radial,1,Mouse,Animals,,,,,
6,Radial,1,Mouse,Food,,,,,
6,Radial,1,Mouse,Clothing,,,,,
6,Radial,2,Mouse,Fish,,,,,
6,Radial,2,Mouse,Hats,,,,,
6,Radial,2,Mouse,Meat,,,,,
6,Radial,3,Mouse,Bacon,,,,,
6,Radial,3,Mouse,Cap,,,,,
6,Radial,3,Mouse,Shark,,,,,
6,Marking,1,Trackpad,Animals,,,,,
6,Marking,1,Trackpad,Food,,,,,
6,Marking,1,Trackpad,Clothing,,,,,
6,Marking,2,Trackpad,Hats,,,,,
6,Marking,2,Trackpad,Meat,,,,,
6,Marking,2,Trackpad,Fish,,,,,
6,Marking,3,Trackpad,Cap,,,,,
6,Marking,3,Trackpad,Shark,,,,,
6,Marking,3,Trackpad,Bacon,,,,,
6,Marking,1,Mouse,Animals,,,,,
6,Marking,1,Mouse,Food,,,,,
6,Marking,1,Mouse,Clothing,,,,,
6,Marking,2,Mouse,Meat,,,,,
6,Marking,2,Mouse,Fish,,,,,
6,Marking,2,Mouse,Hats,,,,,
6,Marking,3,Mouse,Shark,,,,,
6,Marking,3,Mouse,Bacon,,,,,
6,Marking,3,Mouse,Cap,,,,,
7,Marking,1,Mouse,Clothing,,,,,
7,Marking,1,Mouse,Food,,,,,
7,Marking,1,Mouse,Animals,,,,,
7,Marking,2,Mouse,Meat,,,,,
7,Marking,2,Mouse,Hats,,,,,
7,Marking,2,Mouse,Fish,,,,,
7,Marking,3,Mouse,Cap,,,,,
7,Marking,3,Mouse,Shark,,,,,
7,Marking,3,Mouse,Bacon,,,,,
7,Marking,1,Trackpad,Animals,,,,,
7,Marking,1,Trackpad,Food,,,,,
7,Marking,1,Trackpad,Clothing,,,,,
7,Marking,2,Trackpad,Fish,,,,,
7,Marking,2,Trackpad,Hats,,,,,
7,Marking,2,Trackpad,Meat,,,,,
7,Marking,3,Trackpad,Bacon,,,,,
7,Marking,3,Trackpad,Cap,,,,,
7,Marking,3,Trackpad,Shark,,,,,
7,Radial,1,Mouse,Animals,,,,,
7,Radial,1,Mouse,Food,,,,,
7,Radial,1,Mouse,Clothing,,,,,
7,Radial,2,Mouse,Hats,,,,,
7,Radial,2,Mouse,Meat,,,,,
7,Radial,2,Mouse,Fish,,,,,
7,Radial,3,Mouse,Cap,,,,,
7,Radial,3,Mouse,Shark,,,,,
7,Radial,3,Mouse,Bacon,,,,,
7,Radial,1,Trackpad,Animals,,,,,
7,Radial,1,Trackpad,Food,,,,,
7,Radial,1,Trackpad,Clothing,,,,,
7,Radial,2,Trackpad,Meat,,,,,
7,Radial,2,Trackpad,Fish,,,,,
7,Radial,2,Trackpad,Hats,,,,,
7,Radial,3,Trackpad,Shark,,,,,
7,Radial,3,Trackpad,Bacon,,,,,
7,Radial,3,Trackpad,Cap,,,,,
8,Radial,1,Mouse,Clothing,,,,,
8,Radial,1,Mouse,Food,,,,,
8,Radial,1,Mouse,Animals,,,,,
8,Radial,2,Mouse,Meat,,,,,
8,Radial,2,Mouse,Hats,,,,,
8,Radial,2,Mouse,Fish,,,,,
8,Radial,3,Mouse,Cap,,,,,
8,Radial,3,Mouse,Shark,,,,,
8,Radial,3,Mouse,Bacon,,,,,
8,Radial,1,Trackpad,Animals,,,,,
8,Radial,1,Trackpad,Food,,,,,
8,Radial,1,Trackpad,Clothing,,,,,
8,Radial,2,Trackpad,Fish,,,,,
8,Radial,2,Trackpad,Hats,,,,,
8,Radial,2,Trackpad,Meat,,,,,
8,Radial,3,Trackpad,Bacon,,,,,
8,Radial,3,Trackpad,Cap,,,,,
8,Radial,3,Trackpad,Shark,,,,,
8,Marking,1,Mouse,Animals,,,,,
8,Marking,1,Mouse,Food,,,,,
8,Marking,1,Mouse,Clothing,,,,,
8,Marking,2,Mouse,Hats,,,,,
8,Marking,2,Mouse,Meat,,,,,
8,Marking,2,Mouse,Fish,,,,,
8,Marking,3,Mouse,Cap,,,,,
8,Marking,3,Mouse,Shark,,,,,
8,Marking,3,Mouse,Bacon,,,,,
8,Marking,1,Trackpad,Animals,,,,,
8,Marking,1,Trackpad,Food,,,,,
8,Marking,1,Trackpad,Clothing,,,,,
8,Marking,2,Trackpad,Meat,,,,,
8,Marking,2,Trackpad,Fish,,,,,
8,Marking,2,Trackpad,Hats,,,,,
8,Marking,3,Trackpad,Shark,,,,,
8,Marking,3,Trackpad,Bacon,,,,,
8,Marking,3,Trackpad,Cap,,,,,